student_id,name,reg_number,combination
260001,Thomas Hernandez Miller,AJS20260001,PCMC
260002,Sarah Wilson Martinez,AJS20260002,PCMB
260003,Thomas Jackson Gonzalez,AJS20260003,PCMB
260004,Sarah Jackson Martinez,AJS20260004,PCMC
260005,Michael Lopez Jackson,AJS20260005,PCMC
260006,Thomas Hernandez Miller,AJS20260006,PCMB
260007,Charles Thomas Hernandez,AJS20260007,PCMC
260008,Robert Garcia Jones,AJS20260008,PCMB
260009,Charles Brown Martin,AJS20260009,PCMC
260010,Mary Thomas Wilson,AJS20260010,PCMC
260011,Joseph Garcia Jackson,AJS20260011,PCMC
260012,Michael Hernandez Garcia,AJS20260012,PCMB
260013,Joseph Taylor Smith,AJS20260013,PCMC
260014,Charles Lopez Smith,AJS20260014,PCMC
260015,Karen Taylor Martinez,AJS20260015,PCMC
260016,Linda Brown Jones,AJS20260016,PCMB
260017,Charles Martin Johnson,AJS20260017,PCMC
260018,William Taylor Martinez,AJS20260018,PCMB
260019,Robert Davis Smith,AJS20260019,PCMB
260020,Patricia Gonzalez Smith,AJS20260020,PCMC
260021,Sarah Jones Johnson,AJS20260021,PCMC
260022,Jennifer Lopez Moore,AJS20260022,PCMC
260023,William Garcia Brown,AJS20260023,PCMC
260024,Thomas Hernandez Martinez,AJS20260024,PCMC
260025,Robert Garcia Johnson,AJS20260025,PCMC
260026,Richard Rodriguez Wilson,AJS20260026,PCMB
260027,Jennifer Wilson Anderson,AJS20260027,PCMB
260028,Charles Rodriguez Martinez,AJS20260028,PCMB
260029,Mary Gonzalez Lopez,AJS20260029,PCMC
260030,Thomas Wilson Moore,AJS20260030,PCMC
260031,Elizabeth Gonzalez Martinez,AJS20260031,PCMC
260032,David Martinez Moore,AJS20260032,PCMC
260033,John Martin Gonzalez,AJS20260033,PCMB
260034,James Taylor Williams,AJS20260034,PCMC
260035,Sarah Wilson Gonzalez,AJS20260035,PCMC
260036,David Smith Anderson,AJS20260036,PCMC
260037,William Anderson Martinez,AJS20260037,PCMC
260038,Thomas Lopez Thomas,AJS20260038,PCMB
260039,Charles Anderson Wilson,AJS20260039,PCMC
260040,Linda Martin Anderson,AJS20260040,PCMB
260041,Linda Johnson Johnson,AJS20260041,PCMC
260042,Linda Johnson Martinez,AJS20260042,PCMC
260043,Charles Davis Martinez,AJS20260043,PCMC
260044,Jessica Martin Davis,AJS20260044,PCMC
260045,Barbara Wilson Williams,AJS20260045,PCMC
260046,Linda Jones Jackson,AJS20260046,PCMC
260047,Jennifer Martinez Rodriguez,AJS20260047,PCMC
260048,Michael Thomas Jackson,AJS20260048,PCMC
260049,Michael Miller Moore,AJS20260049,PCMC
260050,Richard Wilson Wilson,AJS20260050,PCMB
260051,Susan Miller Wilson,AJS20260051,PCMC
260052,James Davis Gonzalez,AJS20260052,PCMC
260053,John Davis Thomas,AJS20260053,PCMC
260054,Linda Thomas Jones,AJS20260054,PCMB
260055,William Miller Hernandez,AJS20260055,PCMB
260056,Elizabeth Miller Hernandez,AJS20260056,PCMC
260057,Thomas Smith Jackson,AJS20260057,PCMC
260058,Thomas Rodriguez Johnson,AJS20260058,PCMB
260059,Jessica Wilson Martin,AJS20260059,PCMC
260060,Barbara Williams Martinez,AJS20260060,PCMB
260061,Robert Lopez Lopez,AJS20260061,PCMB
260062,Charles Moore Johnson,AJS20260062,PCMB
260063,William Lopez Brown,AJS20260063,PCMB
260064,Mary Martin Garcia,AJS20260064,PCMB
260065,Thomas Jackson Rodriguez,AJS20260065,PCMC
260066,Barbara Wilson Johnson,AJS20260066,PCMB
260067,Michael Davis Gonzalez,AJS20260067,PCMC
260068,Richard Garcia Garcia,AJS20260068,PCMB
260069,Richard Garcia Smith,AJS20260069,PCMC
260070,Patricia Rodriguez Hernandez,AJS20260070,PCMB
260071,William Thomas Jackson,AJS20260071,PCMC
260072,Jennifer Brown Martin,AJS20260072,PCMB
260073,James Moore Miller,AJS20260073,PCMC
260074,John Taylor Hernandez,AJS20260074,PCMB
260075,Joseph Miller Smith,AJS20260075,PCMC
260076,Mary Wilson Brown,AJS20260076,PCMC
260077,Charles Jackson Moore,AJS20260077,PCMC
260078,Jessica Martin Williams,AJS20260078,PCMB
260079,Jennifer Lopez Wilson,AJS20260079,PCMC
260080,Charles Taylor Garcia,AJS20260080,PCMC
260081,Susan Lopez Brown,AJS20260081,PCMB
260082,Elizabeth Gonzalez Martin,AJS20260082,PCMC
260083,Robert Rodriguez Brown,AJS20260083,PCMC
260084,James Martinez Brown,AJS20260084,PCMB
260085,Barbara Gonzalez Martinez,AJS20260085,PCMC
260086,John Miller Martin,AJS20260086,PCMC
260087,Thomas Rodriguez Martin,AJS20260087,PCMB
260088,David Lopez Garcia,AJS20260088,PCMB
260089,Barbara Miller Moore,AJS20260089,PCMC
260090,Mary Rodriguez Williams,AJS20260090,PCMC
260091,Karen Moore Rodriguez,AJS20260091,PCMC
260092,Sarah Lopez Garcia,AJS20260092,PCMC
260093,Jennifer Garcia Thomas,AJS20260093,PCMC
260094,Susan Rodriguez Martin,AJS20260094,PCMC
260095,Sarah Rodriguez Davis,AJS20260095,PCMC
260096,Michael Lopez Thomas,AJS20260096,PCMC
260097,David Johnson Wilson,AJS20260097,PCMC
260098,Michael Thomas Lopez,AJS20260098,PCMB
260099,Susan Johnson Miller,AJS20260099,PCMC
260100,Mary Garcia Martin,AJS20260100,PCMC
260101,Richard Lopez Gonzalez,AJS20260101,PCMC
260102,Mary Taylor Davis,AJS20260102,PCMC
260103,Sarah Williams Moore,AJS20260103,PCMB
260104,Robert Gonzalez Taylor,AJS20260104,PCMB
260105,Karen Brown Smith,AJS20260105,PCMB
260106,Barbara Davis Garcia,AJS20260106,PCMB
260107,Joseph Gonzalez Anderson,AJS20260107,PCMC
260108,Jennifer Martin Brown,AJS20260108,PCMC
260109,Thomas Garcia Lopez,AJS20260109,PCMC
260110,Richard Gonzalez Johnson,AJS20260110,PCMC
